order_id,customer_id,restaurant_id,order_time,customer_location,restaurant_location,order_value,rating
8954,4937,426,2024-04-06 00:00:00,Apt 960,Apt 1610,4550.66,4.1
3004,6241,579,2024-04-06 00:00:00,Suite 19,Room 1800,565.72,3.34
6660,2797,515,2024-04-06 00:00:00,Room 1127,PO Box 93448,2693.28,1.37
5549,4709,347,2024-04-06 00:00:00,PO Box 87489,12th Floor,3932.64,4.82
9877,6104,994,2024-04-06 00:00:00,Apt 854,PO Box 74855,1594.06,0.35
4070,1728,100,2024-04-06 00:00:00,Apt 1478,Room 1758,1620.14,3.65
3766,4207,801,2024-04-06 00:00:00,Apt 1357,Apt 338,4857.34,0.91
5452,2460,646,2024-04-06 00:00:00,14th Floor,18th Floor,681.97,2.48
4730,9271,311,2024-04-06 00:00:00,PO Box 16227,Room 1592,1897.91,1.84
1864,5855,661,2024-04-06 00:00:00,PO Box 83512,Room 824,4816.66,2.18
6386,2456,656,2024-04-06 00:00:00,Suite 51,Room 120,1661.76,4.86
3174,9602,628,2024-04-06 00:00:00,PO Box 54547,Apt 1129,3673.26,4.02
8971,4141,463,2024-04-06 00:00:00,Room 796,PO Box 24587,555.65,0.28
1047,6449,120,2024-04-06 00:00:00,10th Floor,Room 1436,1653.7,4.47
2270,2789,135,2024-04-06 00:00:00,15th Floor,6th Floor,567.62,0.32
5795,2410,437,2024-04-06 00:00:00,3rd Floor,Room 1087,2664.11,4.41
1855,7299,716,2024-04-06 00:00:00,PO Box 78099,Room 57,2946.04,4.27
5740,3201,406,2024-04-06 00:00:00,10th Floor,PO Box 35730,4596.55,2.17
8127,2675,265,2024-04-06 00:00:00,PO Box 4194,Suite 93,1467.1,4.01
2855,3959,374,2024-04-06 00:00:00,Room 1661,Room 419,3727.25,1.1
5328,5390,412,2024-04-06 00:00:00,12th Floor,12th Floor,4376.18,1.12
6149,1114,227,2024-04-06 00:00:00,Room 800,Room 822,1411.23,1.88
2258,5133,121,2024-04-06 00:00:00,10th Floor,PO Box 93664,496.56,0.69
8736,4982,380,2024-04-06 00:00:00,PO Box 18041,12th Floor,2218.08,1.47
1900,8289,545,2024-04-06 00:00:00,Room 597,Suite 14,62.8,3.45
4302,2849,857,2024-04-06 00:00:00,Apt 1555,PO Box 81625,2707.97,3.46
8449,8891,703,2024-04-06 00:00:00,5th Floor,Suite 3,3606.18,4.03
9093,6156,238,2024-04-06 00:00:00,Suite 100,Apt 226,2631.36,4.63
1082,2161,857,2024-04-06 00:00:00,Suite 56,17th Floor,2117.21,2.51
3680,8767,733,2024-04-06 00:00:00,Apt 54,PO Box 98789,2183.84,0.15
7066,2727,586,2024-04-06 00:00:00,11th Floor,Apt 763,3443.83,3.42
1150,3919,112,2024-04-06 00:00:00,PO Box 79532,PO Box 96373,1005.11,3.79
9346,8550,471,2024-04-06 00:00:00,Suite 6,Suite 92,2454.01,3.69
2269,9226,922,2024-04-06 00:00:00,6th Floor,Apt 457,3997.4,3.49
5288,1532,429,2024-04-06 00:00:00,PO Box 7562,PO Box 17048,1639.56,0.13
8468,2969,411,2024-04-06 00:00:00,PO Box 80545,Room 916,562.52,2.67
2145,1526,786,2024-04-06 00:00:00,Apt 427,Suite 89,1432.11,4.08
9890,3701,338,2024-04-06 00:00:00,Room 1993,Apt 141,1729.89,1.58
6006,8697,344,2024-04-06 00:00:00,Suite 73,PO Box 70176,11.09,4.76
8927,9858,242,2024-04-06 00:00:00,PO Box 25429,Apt 1085,1585.77,4.85
4665,4263,591,2024-04-06 00:00:00,PO Box 81093,Room 1154,181.2,4.83
2274,1456,363,2024-04-06 00:00:00,PO Box 56390,19th Floor,1646.44,4.63
7600,8267,140,2024-04-06 00:00:00,Room 883,Room 339,4628.6,2.21
9220,5557,939,2024-04-06 00:00:00,19th Floor,Suite 88,4882.59,1.03
1403,6897,749,2024-04-06 00:00:00,13th Floor,PO Box 36942,4695.02,2.79
6003,2516,804,2024-04-06 00:00:00,Room 1792,3rd Floor,432.88,3.39
2205,2051,113,2024-04-06 00:00:00,PO Box 30302,9th Floor,369.68,1.76
1139,4799,608,2024-04-06 00:00:00,19th Floor,PO Box 66307,3297.91,0.74
9818,6850,370,2024-04-06 00:00:00,Suite 41,19th Floor,1501.97,0.58
8194,9455,732,2024-04-06 00:00:00,PO Box 8458,13th Floor,933.28,3.55
8267,2070,527,2024-04-06 00:00:00,PO Box 14864,Suite 70,4397.43,1.05
2862,6939,473,2024-04-06 00:00:00,Suite 74,Room 140,836.09,2.53
8580,2019,583,2024-04-06 00:00:00,Suite 92,2nd Floor,3459.92,0.86
