order_id,customer_id,restaurant_id,order_time,customer_location,restaurant_location,order_value,rating
4991,7078,888,2024-04-06 00:00:00,20th Floor,PO Box 468,2140.33,2.69
8968,9748,960,2024-04-06 00:00:00,PO Box 73649,15th Floor,2396.46,0.06
4255,7496,887,2024-04-06 00:00:00,Suite 33,Apt 242,4997.8,1.05
1947,4669,859,2024-04-06 00:00:00,Room 714,Suite 97,2163.55,1.04
3514,5837,879,2024-04-06 00:00:00,Suite 45,Room 1736,4193.0,4.68
9762,5106,272,2024-04-06 00:00:00,PO Box 18164,PO Box 22321,2050.6,3.11
5806,4996,227,2024-04-06 00:00:00,Suite 28,Suite 27,4656.12,4.03
4471,3239,106,2024-04-06 00:00:00,Apt 1930,PO Box 28852,2918.88,0.14
2771,9459,141,2024-04-06 00:00:00,Suite 16,Room 868,3129.15,1.42
5151,6455,346,2024-04-06 00:00:00,Apt 320,Apt 199,2613.66,2.23
1132,4596,791,2024-04-06 00:00:00,PO Box 28739,Suite 76,4661.81,1.25
4663,3106,686,2024-04-06 00:00:00,Room 1596,PO Box 39257,1994.51,2.01
5515,5225,720,2024-04-06 00:00:00,Apt 1560,PO Box 69200,4410.43,4.53
1044,6535,369,2024-04-06 00:00:00,Apt 1894,PO Box 14332,4491.78,1.13
6618,4539,736,2024-04-06 00:00:00,2nd Floor,PO Box 71457,4168.34,4.93
6928,7622,671,2024-04-06 00:00:00,Suite 87,7th Floor,4584.74,2.8
4625,7031,250,2024-04-06 00:00:00,12th Floor,PO Box 93378,2897.06,3.57
8854,2277,856,2024-04-06 00:00:00,Suite 60,PO Box 47723,1878.17,3.14
9559,5075,487,2024-04-06 00:00:00,7th Floor,Room 1874,4670.13,2.45
5242,5151,528,2024-04-06 00:00:00,PO Box 94877,19th Floor,3227.71,0.56
2186,2686,865,2024-04-06 00:00:00,Room 105,Apt 846,453.96,1.33
3181,1009,107,2024-04-06 00:00:00,7th Floor,11th Floor,1911.57,4.35
2532,8903,338,2024-04-06 00:00:00,Suite 49,Room 1279,4933.04,2.82
1578,2082,433,2024-04-06 00:00:00,Apt 1312,Suite 67,567.67,0.62
9894,4635,202,2024-04-06 00:00:00,PO Box 12201,Suite 52,83.1,4.65
9964,9260,889,2024-04-06 00:00:00,5th Floor,PO Box 75464,3746.14,1.16
7871,2048,412,2024-04-06 00:00:00,Apt 690,Room 1250,4969.23,3.4
8962,8506,650,2024-04-06 00:00:00,Apt 855,PO Box 59799,557.89,1.5
5305,5399,941,2024-04-06 00:00:00,Apt 1175,Room 1828,1392.12,4.29
6236,7734,431,2024-04-06 00:00:00,Suite 29,Apt 420,3059.89,2.74
8030,9903,920,2024-04-06 00:00:00,4th Floor,PO Box 425,898.22,1.34
7293,3917,878,2024-04-06 00:00:00,PO Box 63164,Suite 88,4192.5,3.03
2410,4504,548,2024-04-06 00:00:00,PO Box 70664,Apt 481,3738.69,3.99
7677,1007,580,2024-04-06 00:00:00,Apt 1117,Suite 25,3905.14,4.52
2558,1412,416,2024-04-06 00:00:00,PO Box 87196,10th Floor,2529.79,3.38
2291,9094,902,2024-04-06 00:00:00,Room 718,Suite 94,4352.93,3.78
4892,5636,823,2024-04-06 00:00:00,Suite 54,PO Box 17940,598.37,3.92
5148,1232,281,2024-04-06 00:00:00,Apt 392,PO Box 16288,4999.58,2.66
5229,4789,365,2024-04-06 00:00:00,4th Floor,Apt 992,3140.71,0.39
9331,8702,577,2024-04-06 00:00:00,Room 1049,PO Box 49218,2407.79,2.31
3938,1454,951,2024-04-06 00:00:00,Room 115,5th Floor,2274.02,2.5
8454,9843,441,2024-04-06 00:00:00,PO Box 74754,Room 1267,4733.35,1.21
9497,2437,643,2024-04-06 00:00:00,PO Box 43934,Apt 983,202.65,0.05
8910,9046,819,2024-04-06 00:00:00,Apt 404,Apt 41,1544.79,3.67
8691,7966,502,2024-04-06 00:00:00,Apt 1149,PO Box 17437,19.36,1.1
3735,9702,185,2024-04-06 00:00:00,Suite 11,Room 311,2067.96,0.42
7472,7616,985,2024-04-06 00:00:00,PO Box 38862,PO Box 77626,345.94,4.16
8989,2150,443,2024-04-06 00:00:00,1st Floor,Room 1600,1752.12,0.4
3309,1043,422,2024-04-06 00:00:00,PO Box 84242,Room 1699,4660.94,3.1
1029,8790,288,2024-04-06 00:00:00,Suite 26,Apt 1677,3317.79,2.02
8752,3676,386,2024-04-06 00:00:00,PO Box 33921,19th Floor,3350.41,4.53
5084,7715,997,2024-04-06 00:00:00,Room 1509,11th Floor,3253.66,2.24
7529,7408,572,2024-04-06 00:00:00,Room 1935,Room 982,3056.12,2.59
8005,9442,724,2024-04-06 00:00:00,PO Box 62695,Apt 663,3166.57,2.24
2968,4338,381,2024-04-06 00:00:00,12th Floor,Suite 64,2275.54,4.11
9661,3289,847,2024-04-06 00:00:00,Apt 216,Room 391,3184.5,4.17
7900,4425,397,2024-04-06 00:00:00,PO Box 73373,Suite 26,4263.51,4.5
2873,1357,906,2024-04-06 00:00:00,Room 149,19th Floor,374.28,1.22
7154,2965,949,2024-04-06 00:00:00,PO Box 38223,Suite 87,1349.95,2.8
4636,1221,201,2024-04-06 00:00:00,1st Floor,Apt 983,1522.15,2.55
7953,6318,824,2024-04-06 00:00:00,Apt 1669,PO Box 96267,4819.29,1.66
8634,1270,573,2024-04-06 00:00:00,PO Box 50887,Apt 659,3628.26,4.56
6764,6171,514,2024-04-06 00:00:00,PO Box 48658,Room 1425,4132.7,4.68
8578,5176,127,2024-04-06 00:00:00,PO Box 23868,Room 581,3798.21,2.66
3923,9573,555,2024-04-06 00:00:00,15th Floor,Suite 6,4132.76,1.58
